recom,recomH1,cell,homologousAutoRecom,transposonEffect,genotoxic
0.1,switch,diploid,TRUE,FALSE,1
0.1,homeostatic,diploid,TRUE,FALSE,1
0.01,switch,diploid,TRUE,FALSE,1
0.01,homeostatic,diploid,TRUE,FALSE,1
0.001,switch,diploid,TRUE,FALSE,1
0.001,homeostatic,diploid,TRUE,FALSE,1
1e-04,switch,diploid,TRUE,FALSE,1
1e-04,homeostatic,diploid,TRUE,FALSE,1
0,switch,diploid,TRUE,FALSE,1
0,homeostatic,diploid,TRUE,FALSE,1
0.1,switch,haploid,FALSE,FALSE,1
0.1,homeostatic,haploid,FALSE,FALSE,1
0.01,switch,haploid,FALSE,FALSE,1
0.01,homeostatic,haploid,FALSE,FALSE,1
0.001,switch,haploid,FALSE,FALSE,1
0.001,homeostatic,haploid,FALSE,FALSE,1
1e-04,switch,haploid,FALSE,FALSE,1
1e-04,homeostatic,haploid,FALSE,FALSE,1
0,switch,haploid,FALSE,FALSE,1
0,homeostatic,haploid,FALSE,FALSE,1
0.1,switch,diploid,FALSE,FALSE,1
0.1,homeostatic,diploid,FALSE,FALSE,1
0.01,switch,diploid,FALSE,FALSE,1
0.01,homeostatic,diploid,FALSE,FALSE,1
0.001,switch,diploid,FALSE,FALSE,1
0.001,homeostatic,diploid,FALSE,FALSE,1
1e-04,switch,diploid,FALSE,FALSE,1
1e-04,homeostatic,diploid,FALSE,FALSE,1
0,switch,diploid,FALSE,FALSE,1
0,homeostatic,diploid,FALSE,FALSE,1
0.1,switch,haploid,TRUE,TRUE,2
0.1,homeostatic,haploid,TRUE,TRUE,2
0.01,switch,haploid,TRUE,TRUE,2
0.01,homeostatic,haploid,TRUE,TRUE,2
0.001,switch,haploid,TRUE,TRUE,2
0.001,homeostatic,haploid,TRUE,TRUE,2
1e-04,switch,haploid,TRUE,TRUE,2
1e-04,homeostatic,haploid,TRUE,TRUE,2
0,switch,haploid,TRUE,TRUE,2
0,homeostatic,haploid,TRUE,TRUE,2
0.1,switch,diploid,TRUE,TRUE,2
0.1,homeostatic,diploid,TRUE,TRUE,2
0.01,switch,diploid,TRUE,TRUE,2
0.01,homeostatic,diploid,TRUE,TRUE,2
0.001,switch,diploid,TRUE,TRUE,2
0.001,homeostatic,diploid,TRUE,TRUE,2
1e-04,switch,diploid,TRUE,TRUE,2
1e-04,homeostatic,diploid,TRUE,TRUE,2
0,switch,diploid,TRUE,TRUE,2
0,homeostatic,diploid,TRUE,TRUE,2
0.1,switch,haploid,FALSE,TRUE,2
0.1,homeostatic,haploid,FALSE,TRUE,2
0.01,switch,haploid,FALSE,TRUE,2
0.01,homeostatic,haploid,FALSE,TRUE,2
0.001,switch,haploid,FALSE,TRUE,2
0.001,homeostatic,haploid,FALSE,TRUE,2
1e-04,switch,haploid,FALSE,TRUE,2
1e-04,homeostatic,haploid,FALSE,TRUE,2
0,switch,haploid,FALSE,TRUE,2
0,homeostatic,haploid,FALSE,TRUE,2
0.1,switch,diploid,FALSE,TRUE,2
0.1,homeostatic,diploid,FALSE,TRUE,2
0.01,switch,diploid,FALSE,TRUE,2
0.01,homeostatic,diploid,FALSE,TRUE,2
0.001,switch,diploid,FALSE,TRUE,2
0.001,homeostatic,diploid,FALSE,TRUE,2
1e-04,switch,diploid,FALSE,TRUE,2
1e-04,homeostatic,diploid,FALSE,TRUE,2
0,switch,diploid,FALSE,TRUE,2
0,homeostatic,diploid,FALSE,TRUE,2
0.1,switch,haploid,TRUE,FALSE,2
0.1,homeostatic,haploid,TRUE,FALSE,2
0.01,switch,haploid,TRUE,FALSE,2
0.01,homeostatic,haploid,TRUE,FALSE,2
0.001,switch,haploid,TRUE,FALSE,2
0.001,homeostatic,haploid,TRUE,FALSE,2
1e-04,switch,haploid,TRUE,FALSE,2
1e-04,homeostatic,haploid,TRUE,FALSE,2
0,switch,haploid,TRUE,FALSE,2
0,homeostatic,haploid,TRUE,FALSE,2
0.1,switch,diploid,TRUE,FALSE,2
0.1,homeostatic,diploid,TRUE,FALSE,2
0.01,switch,diploid,TRUE,FALSE,2
0.01,homeostatic,diploid,TRUE,FALSE,2
0.001,switch,diploid,TRUE,FALSE,2
0.001,homeostatic,diploid,TRUE,FALSE,2
1e-04,switch,diploid,TRUE,FALSE,2
1e-04,homeostatic,diploid,TRUE,FALSE,2
0,switch,diploid,TRUE,FALSE,2
0,homeostatic,diploid,TRUE,FALSE,2
0.1,switch,haploid,FALSE,FALSE,2
0.1,homeostatic,haploid,FALSE,FALSE,2
0.01,switch,haploid,FALSE,FALSE,2
0.01,homeostatic,haploid,FALSE,FALSE,2
0.001,switch,haploid,FALSE,FALSE,2
0.001,homeostatic,haploid,FALSE,FALSE,2
1e-04,switch,haploid,FALSE,FALSE,2
1e-04,homeostatic,haploid,FALSE,FALSE,2
0,switch,haploid,FALSE,FALSE,2
0,homeostatic,haploid,FALSE,FALSE,2
0.1,switch,diploid,FALSE,FALSE,2
0.1,homeostatic,diploid,FALSE,FALSE,2
0.01,switch,diploid,FALSE,FALSE,2
0.01,homeostatic,diploid,FALSE,FALSE,2
0.001,switch,diploid,FALSE,FALSE,2
0.001,homeostatic,diploid,FALSE,FALSE,2
1e-04,switch,diploid,FALSE,FALSE,2
1e-04,homeostatic,diploid,FALSE,FALSE,2
0,switch,diploid,FALSE,FALSE,2
0,homeostatic,diploid,FALSE,FALSE,2
0.1,switch,haploid,TRUE,TRUE,3
0.1,homeostatic,haploid,TRUE,TRUE,3
0.01,switch,haploid,TRUE,TRUE,3
0.01,homeostatic,haploid,TRUE,TRUE,3
0.001,switch,haploid,TRUE,TRUE,3
0.001,homeostatic,haploid,TRUE,TRUE,3
1e-04,switch,haploid,TRUE,TRUE,3
1e-04,homeostatic,haploid,TRUE,TRUE,3
0,switch,haploid,TRUE,TRUE,3
0,homeostatic,haploid,TRUE,TRUE,3
0.1,switch,diploid,TRUE,TRUE,3
0.1,homeostatic,diploid,TRUE,TRUE,3
0.01,switch,diploid,TRUE,TRUE,3
0.01,homeostatic,diploid,TRUE,TRUE,3
0.001,switch,diploid,TRUE,TRUE,3
0.001,homeostatic,diploid,TRUE,TRUE,3
